id_orden,fecha_alta,ciudad,edad,balance,num_productos,miembro_act,tiene_tarjeta,churn
ORD-15258,15/10/2024,Medellin,73.0,77752.94016665794,1,1,SÍ,0
ORD-97538,"Oct 15, 2024",Medell√edn,59.0,,2,0,NO,0
ORD-49504,15/10/2024,Ciudad de M√©xico,78.0,40261.62521799165,2,0,si,1
ORD-43159,2024/10/15,Monterrey  ,59.0,76299.49885523331,4,1,no,0
ORD-23986,"Oct 15, 2024",Bogotá,73.0,30921.890293308545,1,1,SÍ,0
ORD-71858,2024-10-15,Medellín,53.0,56223.2273829165,1,0,SÍ,0
ORD-22666,"Oct 15, 2024",Monterrey  ,85.0,8487.933307654399,2,0,SÍ,0
ORD-48660,15/10/2024,Medellin,24.0,95490.98380152976,2,1,NO,0
ORD-13561,2024-10-15,CDMX,71.0,80163.79840591937,1,1,?,0
ORD-36854,15/10/2024,Bogotá,18.0,118752.67998951887,2,1,SÍ,0
ORD-74505,"Oct 15, 2024",Medellín,61.0,83459.09328615964,1,0,SÍ,0
ORD-62251,2024-10-15,Monterrey  ,62.0,21758.74425998796,1,0,SÍ,1
ORD-32662,2024-10-15,Bogotá,64.0,66716.2465040148,1,1,SÍ,0
ORD-18392,"Oct 15, 2024",Bogotá,30.0,27049.780944454888,1,0,SÍ,0
ORD-40535,2024-10-15,Medellín,39.0,89450.93767632746,2,1,NO,0
ORD-88603,2024/10/15,Bogot√±,38.0,22471.492800560693,2,1,SÍ,0
ORD-62256,2024-10-15,Ciudad de M√©xico,26.0,21271.127894005058,2,0,SÍ,0
ORD-99135,2024-10-15,Bogot√±,43.0,9754.713657582834,3,1,NO,0
ORD-45222,2024/10/15,Bogotá,26.0,37790.504468424966,1,1,SÍ,0
ORD-87373,15/10/2024,Bogota,32.0,32763.05438041072,1,1,SÍ,0
ORD-89575,15/10/2024,Medellín,27.0,18458.772354018365,1,1,SÍ,0
ORD-94651,2024/10/15,Bogotá,59.0,-9999.0,1,0,si,0
ORD-73335,2024-10-15,Bogotá,89.0,63247.01740966612,2,1,NO,0
ORD-20965,"Oct 15, 2024",CDMX,41.0,60305.86349641779,2,1,SÍ,0
ORD-34538,2024/10/15,Ciudad de M√©xico,66.0,89729.11048119816,2,1,NO,0
ORD-80592,"Oct 15, 2024",CDMX,43.0,56406.44480107336,1,0,SÍ,0
ORD-18110,15/10/2024,Medellín,54.0,,1,1,NO,0
ORD-89309,2024/10/15,Medell√edn,85.0,7494.756437058582,2,1,NO,0
ORD-37266,"Oct 15, 2024",Bogot√±,67.0,29873.56519141491,1,1,si,0
ORD-62992,2024-10-15,CDMX,41.0,87635.39001271156,2,1,SÍ,0
ORD-92948,2024/10/15,Medellín,36.0,,4,1,N/A,1
ORD-16910,"Oct 15, 2024",Bogot√±,77.0,58828.18094994692,1,1,?,1
ORD-10206,2024/10/15,Medellín,56.0,75848.12857713894,2,1,si,0
ORD-97054,2024/10/15,Medell√edn,,57133.62101108129,2,0,NO,0
ORD-97897,15/10/2024,Ciudad de M√©xico,36.0,59974.58321976458,1,1,SÍ,0
ORD-33419,15/10/2024,Ciudad de M√©xico,53.0,66390.09782183566,2,0,SÍ,1
ORD-60636,2024-10-15,Medellín,72.0,59482.02179556624,1,1,SÍ,0
ORD-60015,15/10/2024,CDMX,86.0,90226.85431183205,1,0,SÍ,1
ORD-64268,15/10/2024,Ciudad de M√©xico,64.0,23992.706794309735,2,1,NO,0
ORD-97939,15/10/2024,Bogota,66.0,56010.62192096964,3,0,NO,0
ORD-28141,"Oct 15, 2024",CDMX,50.0,4543.989150071306,1,1,no,1
ORD-90356,2024/10/15,Monterrey  ,38.0,-1843.6546796634284,1,1,SÍ,0
ORD-81910,15/10/2024,Medellin,39.0,47958.224228700405,3,0,SÍ,0
ORD-66044,"Oct 15, 2024",Medellín,65.0,63584.48922361892,2,1,NO,0
ORD-77214,2024/10/15,Medellín,54.0,90766.69443093913,2,1,SÍ,0
ORD-43827,15/10/2024,Medellín,32.0,110494.79332526158,1,1,SÍ,0
ORD-65820,15/10/2024,Medell√edn,52.0,82996.51676663701,3,1,N/A,0
ORD-72623,2024/10/15,Medellín,88.0,68179.14360995071,1,0,NO,0
ORD-91734,"Oct 15, 2024",Ciudad de M√©xico,49.0,53999.121394345384,2,1,SÍ,0
ORD-85450,"Oct 15, 2024",Ciudad de M√©xico,28.0,11719.298420415565,1,0,si,0
ORD-32299,2024-10-15,Medellin,27.0,46349.08485645504,2,1,NO,1
ORD-53585,2024/10/15,Medellin,74.0,82259.41878145565,1,1,NO,0
ORD-74044,2024-10-15,CDMX,42.0,72457.04640070102,2,0,si,0
ORD-52557,"Oct 15, 2024",Ciudad de M√©xico,19.0,17841.64633292629,1,1,SÍ,0
ORD-59080,15/10/2024,Ciudad de M√©xico,81.0,65350.64118146201,1,0,NO,1
ORD-12693,2024-10-15,Medell√edn,52.0,63209.82029669301,2,1,SÍ,1
ORD-79163,"Oct 15, 2024",Ciudad de M√©xico,24.0,58747.253002868434,3,0,SÍ,0
ORD-35939,"Oct 15, 2024",Ciudad de M√©xico,35.0,49303.61111556664,4,1,no,0
ORD-58925,15/10/2024,Bogota,84.0,66639.59917360483,1,0,NO,0
ORD-52941,2024/10/15,Bogota,59.0,67432.82597280997,2,1,NO,0
ORD-31834,"Oct 15, 2024",Ciudad de M√©xico,56.0,33963.53086421487,2,1,si,1
ORD-28047,2024-10-15,Ciudad de M√©xico,58.0,61375.351534552385,1,0,no,1
ORD-36105,15/10/2024,Ciudad de M√©xico,41.0,45265.12148131966,1,1,si,0
ORD-85766,2024/10/15,Medellin,77.0,12819.15330634392,2,1,SÍ,1
ORD-25707,2024/10/15,Bogotá,63.0,35959.8241240459,3,1,SÍ,0
ORD-31976,2024/10/15,Bogota,36.0,10907.757866364373,2,1,SÍ,0
ORD-54262,"Oct 15, 2024",Monterrey  ,85.0,74502.33837675262,2,1,SÍ,0
ORD-33776,2024/10/15,CDMX,59.0,58897.23443885798,2,0,SÍ,0
ORD-40080,"Oct 15, 2024",CDMX,49.0,41112.734719851374,1,0,NO,1
ORD-76842,15/10/2024,Bogotá,56.0,85513.03358221622,2,1,NO,1
ORD-71373,15/10/2024,Medell√edn,53.0,51699.77268952916,2,1,?,0
ORD-16776,2024/10/15,Monterrey  ,53.0,14219.431100828137,1,0,NO,0
ORD-65016,15/10/2024,CDMX,20.0,39013.036495404725,3,0,NO,0
ORD-19474,2024-10-15,Bogot√±,25.0,90821.35468183231,1,1,SÍ,0
ORD-68053,2024-10-15,Medellín,87.0,33263.10937277142,4,1,SÍ,0
ORD-31959,"Oct 15, 2024",Bogot√±,58.0,56880.53221894575,1,0,SÍ,1
ORD-15530,2024/10/15,Medell√edn,85.0,68596.91561286597,1,1,NO,0
ORD-13748,"Oct 15, 2024",Monterrey  ,30.0,64748.71211387357,1,1,SÍ,0
ORD-23545,15/10/2024,CDMX,66.0,111236.4949739525,2,1,NO,0
ORD-76199,2024/10/15,Medellín,77.0,20592.41857691828,1,0,NO,1
ORD-44766,"Oct 15, 2024",Bogota,19.0,23088.422986679925,2,1,SÍ,0
ORD-83530,2024/10/15,CDMX,77.0,21006.138822446675,2,1,SÍ,0
ORD-71087,2024/10/15,CDMX,22.0,42602.039474577876,2,0,SÍ,0
ORD-78840,"Oct 15, 2024",Medell√edn,61.0,77484.43470456128,1,1,SÍ,0
ORD-64384,2024/10/15,CDMX,44.0,24206.63550508722,2,0,NO,0
ORD-61005,15/10/2024,Monterrey  ,49.0,77834.01264859847,1,0,NO,0
ORD-56576,2024-10-15,Bogotá,38.0,50878.16674819342,2,1,NO,0
ORD-49353,2024-10-15,Monterrey  ,25.0,22275.082669726908,1,1,si,0
ORD-72003,2024/10/15,Bogota,89.0,6215.751085803589,3,0,NO,0
ORD-93211,2024-10-15,Bogotá,67.0,11810.737654766846,2,1,?,0
ORD-62733,2024/10/15,CDMX,84.0,33353.6647941519,2,1,SÍ,0
ORD-75318,"Oct 15, 2024",CDMX,61.0,45771.22060641699,2,1,NO,0
ORD-99474,15/10/2024,Medellín,75.0,83651.57441826128,1,1,SÍ,0
ORD-33664,2024-10-15,CDMX,20.0,69977.20530470597,1,0,SÍ,0
ORD-77172,"Oct 15, 2024",Ciudad de M√©xico,87.0,29026.468697992445,3,1,SÍ,1
ORD-95616,15/10/2024,Bogota,19.0,60216.632084304205,3,1,NO,0
ORD-36736,2024-10-15,Medellin,61.0,91288.65672980601,1,1,SÍ,0
ORD-10854,2024-10-15,Medellín,19.0,96847.93552575089,2,1,SÍ,0
ORD-48623,15/10/2024,Bogot√±,52.0,42139.84971116009,2,0,N/A,0
ORD-17392,"Oct 15, 2024",Bogotá,47.0,73957.21074262504,2,0,si,0
ORD-65680,"Oct 15, 2024",Medellin,25.0,84748.8841721956,1,1,NO,0
ORD-56717,2024-10-15,CDMX,39.0,12323.20192054032,1,1,NO,0
ORD-97092,15/10/2024,Monterrey  ,61.0,37189.822821007576,1,1,?,0
ORD-60859,"Oct 15, 2024",Ciudad de M√©xico,75.0,105500.46836058158,2,1,NO,0
ORD-36309,15/10/2024,Bogotá,53.0,42474.097246977406,2,0,SÍ,0
ORD-97455,15/10/2024,Bogotá,86.0,-23223.784117527437,2,1,si,0
ORD-73734,2024-10-15,Bogotá,48.0,46975.954740331945,3,1,NO,0
ORD-80467,15/10/2024,Bogota,64.0,78115.63747789655,2,0,SÍ,0
ORD-62662,15/10/2024,Bogotá,72.0,50162.7609200224,3,1,SÍ,0
ORD-22688,2024/10/15,Medellín,79.0,67884.09867001584,2,1,SÍ,0
ORD-35342,15/10/2024,Monterrey  ,47.0,73455.5499413933,1,1,no,0
ORD-47157,"Oct 15, 2024",Medellín,72.0,41126.56371419295,3,0,SÍ,0
ORD-77863,2024-10-15,Medellín,33.0,37015.1753396406,2,0,?,0
ORD-62083,2024-10-15,Ciudad de M√©xico,29.0,53836.02439885679,1,0,no,0
ORD-75733,15/10/2024,Monterrey  ,34.0,,1,1,NO,0
ORD-99045,15/10/2024,Ciudad de M√©xico,33.0,51351.92049617429,1,0,NO,0
ORD-44698,"Oct 15, 2024",Bogotá,29.0,52378.91306706161,2,1,SÍ,0
ORD-90623,2024/10/15,Bogotá,25.0,31286.346634481553,3,1,SÍ,0
ORD-32671,2024-10-15,Medellín,20.0,68757.1727520237,3,1,SÍ,0
ORD-35184,2024/10/15,Medellín,33.0,64980.79867782416,3,1,NO,0
ORD-52107,"Oct 15, 2024",Bogotá,47.0,16599.790834113548,1,1,SÍ,0
ORD-96202,2024-10-15,Medell√edn,40.0,40270.94207285082,1,1,SÍ,0
ORD-61663,"Oct 15, 2024",Bogota,22.0,52326.99681348616,1,1,SÍ,0
ORD-25708,15/10/2024,Medellin,82.0,36642.17494309564,3,1,no,1
ORD-59811,"Oct 15, 2024",CDMX,47.0,65934.29943969485,1,1,SÍ,0
ORD-12811,15/10/2024,Bogot√±,38.0,48327.93653857156,2,1,no,0
ORD-66250,2024/10/15,Monterrey  ,87.0,54226.813236379676,2,0,SÍ,0
ORD-82082,2024-10-15,Ciudad de M√©xico,39.0,39982.26731292317,2,1,NO,0
ORD-44754,2024-10-15,Monterrey  ,89.0,169.52941473462852,1,1,SÍ,0
ORD-21411,2024/10/15,Bogotá,49.0,-1258.708039061239,4,0,NO,0
ORD-12911,15/10/2024,Medellin,50.0,64740.238667300684,4,0,NO,0
ORD-77270,2024-10-15,Bogot√±,33.0,56672.801912234856,1,0,SÍ,0
ORD-93763,"Oct 15, 2024",Medellín,55.0,60966.55515877712,2,1,NO,0
ORD-18680,15/10/2024,Medellín,31.0,53361.82105157283,4,0,NO,0
ORD-94896,2024-10-15,Ciudad de M√©xico,53.0,55364.18508433786,1,1,NO,0
ORD-93879,"Oct 15, 2024",CDMX,40.0,74225.58434046971,2,0,NO,0
ORD-81295,"Oct 15, 2024",Medellin,83.0,61115.48431003531,1,0,SÍ,0
ORD-98614,2024-10-15,Ciudad de M√©xico,19.0,76022.73375765282,2,1,NO,0
ORD-21111,2024/10/15,Bogot√±,82.0,54286.54603066493,1,0,N/A,0
ORD-47504,2024/10/15,Bogot√±,84.0,42490.45648700572,2,1,si,0
ORD-11802,2024-10-15,Bogot√±,69.0,54855.07155390615,1,0,?,0
ORD-18155,"Oct 15, 2024",Medellín,79.0,29095.55296281758,2,1,SÍ,0
ORD-83656,2024/10/15,Medell√edn,40.0,40503.82677720228,4,0,NO,0
ORD-49384,2024/10/15,Medellin,43.0,54439.282716000926,2,0,NO,0
ORD-57254,2024/10/15,CDMX,85.0,54107.95829752529,2,1,SÍ,0
ORD-31918,15/10/2024,Medellin,72.0,47339.52799992529,2,1,si,0
ORD-95981,2024/10/15,Medellin,23.0,15295.382245644832,1,0,NO,0
ORD-70713,2024-10-15,Bogota,52.0,65910.23866051786,1,1,SÍ,0
ORD-40306,2024-10-15,Medellin,39.0,70855.71016498873,3,1,SÍ,0
ORD-26646,15/10/2024,Ciudad de M√©xico,60.0,,1,0,si,0
ORD-56843,15/10/2024,Bogota,32.0,61044.39991471828,1,0,SÍ,0
ORD-26371,2024-10-15,Medell√edn,77.0,50036.54585478707,2,1,SÍ,0
ORD-87371,15/10/2024,Ciudad de M√©xico,29.0,24674.262259746254,1,1,SÍ,1
ORD-12049,2024/10/15,Medellin,66.0,,1,1,SÍ,0
ORD-41616,"Oct 15, 2024",Monterrey  ,59.0,56195.824421850586,4,1,no,0
ORD-30932,"Oct 15, 2024",Medellín,55.0,54834.32934563641,3,1,SÍ,0
ORD-39855,"Oct 15, 2024",Bogotá,62.0,,2,0,NO,1
ORD-71434,2024-10-15,CDMX,52.0,42050.760839128445,4,0,no,0
ORD-82694,15/10/2024,CDMX,47.0,67206.66835127116,2,0,NO,0
ORD-53016,"Oct 15, 2024",Ciudad de M√©xico,47.0,24463.984433535203,2,1,SÍ,0
ORD-17400,2024/10/15,CDMX,23.0,90635.79647896951,1,1,NO,0
ORD-52642,2024/10/15,Bogota,84.0,85188.1614384593,1,1,SÍ,0
ORD-25151,2024/10/15,Bogot√±,24.0,41148.461328322766,2,1,SÍ,0
ORD-61407,15/10/2024,Monterrey  ,69.0,28403.38585317394,3,1,NO,0
ORD-76690,"Oct 15, 2024",Bogotá,31.0,-380.14970888535754,2,1,si,1
ORD-14499,2024/10/15,CDMX,32.0,18714.65318789433,1,0,NO,0
ORD-16295,15/10/2024,CDMX,38.0,68247.78732207186,1,1,?,0
ORD-69040,2024/10/15,Ciudad de M√©xico,52.0,57883.54647251635,2,1,NO,0
ORD-22183,"Oct 15, 2024",Medellin,83.0,62341.339132652196,1,0,NO,1
ORD-39299,"Oct 15, 2024",Medellín,19.0,3860.5091168959625,2,1,si,0
ORD-22874,"Oct 15, 2024",Medell√edn,52.0,40104.6094974334,1,1,SÍ,0
ORD-42711,"Oct 15, 2024",Bogotá,37.0,84181.82015705206,1,0,SÍ,0
ORD-15539,"Oct 15, 2024",Medellin,27.0,47599.31486701617,2,0,NO,0
ORD-63351,2024/10/15,Medellín,42.0,18192.631634400368,2,1,NO,0
ORD-71267,"Oct 15, 2024",Medellín,83.0,47209.941728927464,1,1,SÍ,0
ORD-58354,2024/10/15,Ciudad de M√©xico,42.0,30724.564540868756,1,1,SÍ,0
ORD-12557,"Oct 15, 2024",Monterrey  ,71.0,58341.976498634926,2,0,SÍ,0
ORD-48360,2024/10/15,CDMX,50.0,,1,0,NO,0
ORD-92018,"Oct 15, 2024",CDMX,53.0,63582.41660205727,2,0,si,0
ORD-12200,2024/10/15,Medellin,31.0,19551.909330872186,4,0,no,0
ORD-78497,"Oct 15, 2024",Medell√edn,82.0,38782.08578337253,1,0,NO,1
ORD-56975,15/10/2024,Bogota,71.0,77260.85853497773,3,1,si,1
ORD-31357,2024/10/15,Bogot√±,69.0,16142.998639112957,1,0,SÍ,0
ORD-87505,15/10/2024,Medellin,20.0,24922.199599000538,2,1,SÍ,0
ORD-12869,2024/10/15,Bogota,58.0,54982.4327498016,1,0,SÍ,1
ORD-71135,2024/10/15,Bogot√±,23.0,57168.24597709478,4,0,NO,0
ORD-60108,2024/10/15,Medellín,42.0,37778.75393143076,1,1,SÍ,0
ORD-48467,2024-10-15,Medell√edn,30.0,43039.17793402875,1,1,NO,0
ORD-33328,"Oct 15, 2024",Medellin,25.0,63330.63903889104,4,1,NO,0
ORD-96831,15/10/2024,Medellín,38.0,71240.8750439967,2,1,SÍ,0
ORD-13987,15/10/2024,Bogota,85.0,23269.45836775602,2,0,?,0
ORD-68871,2024/10/15,Medellin,42.0,59107.98801569875,1,1,NO,0
ORD-32399,15/10/2024,Medellin,85.0,87800.40000014305,2,0,SÍ,1
ORD-56214,15/10/2024,Ciudad de M√©xico,62.0,47102.69846597168,1,1,SÍ,1
ORD-96416,15/10/2024,Bogotá,77.0,23004.021155287024,1,0,NO,1
ORD-80271,15/10/2024,Medellín,29.0,21847.70227931959,2,1,SÍ,0
ORD-54064,2024-10-15,Medellin,49.0,45981.5639672034,1,0,SÍ,0
ORD-80091,2024/10/15,CDMX,30.0,75896.18262169046,4,1,NO,0
ORD-50818,15/10/2024,CDMX,48.0,48981.10375383447,3,1,no,0
ORD-55525,2024-10-15,Bogotá,37.0,54730.79949764819,2,1,SÍ,0
ORD-29830,2024-10-15,Medellin,35.0,25091.457945654904,2,1,no,0
ORD-27429,2024/10/15,Bogotá,77.0,74577.94082441369,2,1,si,1
ORD-16893,"Oct 15, 2024",Bogotá,80.0,21358.53572086613,1,1,SÍ,1
ORD-89909,"Oct 15, 2024",Bogota,23.0,37387.58789320917,2,0,NO,0
ORD-57333,"Oct 15, 2024",Bogota,49.0,65747.87155115735,1,0,SÍ,1
ORD-13436,15/10/2024,Monterrey  ,60.0,-985.7874579982963,1,1,SÍ,0
ORD-84290,2024/10/15,Medellín,19.0,54349.0287421427,2,1,NO,0
ORD-86213,"Oct 15, 2024",Bogot√±,,24023.16084020547,2,0,NO,0
ORD-15895,15/10/2024,Bogotá,40.0,50413.734972727834,3,0,SÍ,0
ORD-29738,2024/10/15,Bogota,48.0,41198.60980720159,1,1,no,0
ORD-40746,15/10/2024,Medell√edn,22.0,102645.87063371221,2,0,NO,0
ORD-59377,"Oct 15, 2024",Monterrey  ,51.0,40171.97027000234,1,1,no,0
ORD-58404,"Oct 15, 2024",Medellin,27.0,96066.28432208356,2,0,SÍ,0
ORD-64045,2024-10-15,Medellín,19.0,64673.80727958437,2,1,no,1
ORD-49790,2024-10-15,Medellin,28.0,29963.525731756792,2,0,SÍ,0
ORD-15600,2024/10/15,Monterrey  ,67.0,58270.27313149392,1,1,SÍ,0
ORD-50764,15/10/2024,Ciudad de M√©xico,48.0,42389.756341554705,1,0,NO,0
ORD-84543,15/10/2024,CDMX,73.0,56053.93726853085,1,1,NO,0
ORD-55714,"Oct 15, 2024",Medellín,26.0,32152.725314168336,2,1,NO,0
ORD-66835,"Oct 15, 2024",CDMX,38.0,92254.44083364893,3,0,SÍ,0
ORD-83744,2024/10/15,Medell√edn,45.0,73134.95226991811,1,1,SÍ,0
ORD-66491,2024-10-15,Medellin,79.0,50794.53920403977,2,1,NO,0
ORD-28589,"Oct 15, 2024",Ciudad de M√©xico,24.0,93227.86920173836,3,0,SÍ,0
ORD-53484,15/10/2024,Medell√edn,33.0,51856.981102071215,2,1,NO,0
